"parent","node","size","NA","NA","location"
"1st","Male","Child","No",0,"1st"
"2nd","Male","Child","No",0,"2nd"
"3rd","Male","Child","No",35,"3rd"
"Crew","Male","Child","No",0,"Crew"
"1st","Female","Child","No",0,"1st"
"2nd","Female","Child","No",0,"2nd"
"3rd","Female","Child","No",17,"3rd"
"Crew","Female","Child","No",0,"Crew"
"1st","Male","Adult","No",118,"1st"
"2nd","Male","Adult","No",154,"2nd"
"3rd","Male","Adult","No",387,"3rd"
"Crew","Male","Adult","No",670,"Crew"
"1st","Female","Adult","No",4,"1st"
"2nd","Female","Adult","No",13,"2nd"
"3rd","Female","Adult","No",89,"3rd"
"Crew","Female","Adult","No",3,"Crew"
"1st","Male","Child","Yes",5,"1st"
"2nd","Male","Child","Yes",11,"2nd"
"3rd","Male","Child","Yes",13,"3rd"
"Crew","Male","Child","Yes",0,"Crew"
"1st","Female","Child","Yes",1,"1st"
"2nd","Female","Child","Yes",13,"2nd"
"3rd","Female","Child","Yes",14,"3rd"
"Crew","Female","Child","Yes",0,"Crew"
"1st","Male","Adult","Yes",57,"1st"
"2nd","Male","Adult","Yes",14,"2nd"
"3rd","Male","Adult","Yes",75,"3rd"
"Crew","Male","Adult","Yes",192,"Crew"
"1st","Female","Adult","Yes",140,"1st"
"2nd","Female","Adult","Yes",80,"2nd"
"3rd","Female","Adult","Yes",76,"3rd"
"Crew","Female","Adult","Yes",20,"Crew"
